ID;BCS;Age;Lact_num;CLO
534;2.4;0;0;0
535;;0;0;0
536;2.3;0;0;0
537;;0;0;0
538;3;0;0;0
539;2.2;0;0;0
540;2.7;0;0;0
541;;0;0;0
542;2.1;0;0;0
543;;0;0;0
544;3;0;0;0
545;;0;0;0
546;2.3;0;0;0
547;2.5;0;0;0
548;2.2;0;0;0
549;2.3;0;0;0
550;2.1;0;0;0
551;2.3;0;0;0
552;2.5;0;0;0
553;2.1;0;0;0
554;;0;0;0
555;2.1;0;0;0
556;2.3;0;0;0
557;2.2;0;0;0
558;;0;0;0
559;2.2;0;0;0
560;2;0;0;0
561;2.5;0;0;0
562;2.3;0;0;0
563;2.2;0;0;0
564;2.2;0;0;0
565;;0;0;0
566;2.4;0;0;0
567;2.7;0;0;0
568;2.5;0;0;0
569;2.2;0;0;0
570;;0;0;0
571;;0;0;0
572;2.2;0;0;0
573;;0;0;0
574;;0;0;0
575;2;0;0;0
576;;0;0;0
577;1.8;0;0;0
578;2.3;0;0;0
579;2.2;0;0;0
580;2.3;0;0;0
581;2;0;0;0
582;;0;0;0
583;2.2;0;0;0
584;;0;0;0
585;2.6;0;0;0
586;;0;0;0
587;2.7;0;0;0
588;;0;0;0
589;;0;0;0
590;2.7;0;0;0
591;1.8;0;0;0
592;2.2;0;0;0
593;2.3;0;0;0
594;1.9;0;0;0
595;2.7;0;0;0
596;2.3;0;0;0
597;1.9;0;0;0
